Line0 : (0,82)(1,85)(2,98)(3,98)(4,115)(5,96)(6,124)(7,90)(8,109)(9,103)
Line1 : (0,95)(1,101)(2,112)(3,89)(4,96)(5,84)(6,89)(7,102)(8,130)(9,102)
Line2 : (0,100)(1,83)(2,108)(3,100)(4,86)(5,95)(6,111)(7,126)(8,86)(9,105)
Line3 : (0,89)(1,107)(2,97)(3,103)(4,97)(5,120)(6,108)(7,96)(8,86)(9,97)
Line4 : (0,116)(1,99)(2,104)(3,100)(4,95)(5,115)(6,94)(7,95)(8,88)(9,94)
Line5 : (0,104)(1,116)(2,93)(3,103)(4,99)(5,89)(6,102)(7,101)(8,102)(9,91)
Line6 : (0,98)(1,105)(2,91)(3,121)(4,94)(5,98)(6,94)(7,98)(8,93)(9,108)
Line7 : (0,93)(1,95)(2,103)(3,100)(4,120)(5,106)(6,100)(7,98)(8,105)(9,80)
Line8 : (0,95)(1,83)(2,115)(3,113)(4,94)(5,111)(6,119)(7,81)(8,101)(9,88)
Line9 : (0,88)(1,124)(2,76)(3,110)(4,88)(5,114)(6,92)(7,111)(8,90)(9,107)
Line10 : (0,92)(1,83)(2,103)(3,91)(4,98)(5,104)(6,108)(7,102)(8,112)(9,107)
Line11 : (0,117)(1,84)(2,110)(3,111)(4,86)(5,101)(6,101)(7,98)(8,96)(9,96)
Line12 : (0,104)(1,98)(2,88)(3,102)(4,94)(5,114)(6,99)(7,93)(8,105)(9,103)
Line13 : (0,111)(1,81)(2,91)(3,118)(4,112)(5,91)(6,93)(7,102)(8,104)(9,97)
Line14 : (0,111)(1,108)(2,110)(3,99)(4,102)(5,89)(6,98)(7,97)(8,89)(9,97)
Line15 : (0,109)(1,101)(2,103)(3,102)(4,91)(5,100)(6,110)(7,87)(8,97)(9,100)
Line16 : (0,107)(1,96)(2,78)(3,90)(4,119)(5,82)(6,103)(7,115)(8,112)(9,98)
Line17 : (0,93)(1,107)(2,99)(3,85)(4,94)(5,108)(6,108)(7,107)(8,107)(9,92)
Line18 : (0,105)(1,121)(2,101)(3,99)(4,100)(5,89)(6,88)(7,99)(8,102)(9,96)
Line19 : (0,96)(1,106)(2,81)(3,95)(4,107)(5,115)(6,105)(7,94)(8,100)(9,101)
Line20 : (0,95)(1,96)(2,107)(3,99)(4,98)(5,90)(6,101)(7,99)(8,102)(9,113)
Line21 : (0,86)(1,103)(2,106)(3,112)(4,113)(5,88)(6,114)(7,87)(8,84)(9,107)
Line22 : (0,105)(1,113)(2,101)(3,104)(4,102)(5,91)(6,99)(7,93)(8,91)(9,101)
Line23 : (0,100)(1,117)(2,89)(3,107)(4,93)(5,95)(6,99)(7,92)(8,104)(9,104)
Line24 : (0,91)(1,97)(2,100)(3,94)(4,104)(5,106)(6,91)(7,104)(8,125)(9,88)
Line25 : (0,104)(1,100)(2,98)(3,96)(4,107)(5,89)(6,99)(7,102)(8,107)(9,98)
Line26 : (0,85)(1,107)(2,93)(3,122)(4,106)(5,102)(6,86)(7,90)(8,103)(9,106)
Line27 : (0,94)(1,107)(2,97)(3,83)(4,104)(5,101)(6,111)(7,101)(8,106)(9,96)
Line28 : (0,98)(1,91)(2,95)(3,96)(4,108)(5,91)(6,93)(7,106)(8,104)(9,118)
Line29 : (0,106)(1,97)(2,110)(3,96)(4,96)(5,89)(6,101)(7,113)(8,101)(9,91)
Line30 : (0,102)(1,93)(2,114)(3,100)(4,112)(5,103)(6,96)(7,87)(8,87)(9,106)
Line31 : (0,114)(1,105)(2,94)(3,103)(4,102)(5,110)(6,94)(7,90)(8,99)(9,89)
Line32 : (0,99)(1,104)(2,99)(3,105)(4,86)(5,99)(6,95)(7,102)(8,110)(9,101)
Line33 : (0,91)(1,78)(2,103)(3,92)(4,95)(5,123)(6,107)(7,111)(8,97)(9,103)
Line34 : (0,105)(1,114)(2,96)(3,80)(4,86)(5,102)(6,107)(7,90)(8,103)(9,117)
Line35 : (0,109)(1,98)(2,101)(3,100)(4,111)(5,90)(6,111)(7,92)(8,84)(9,104)
Line36 : (0,96)(1,92)(2,106)(3,97)(4,100)(5,113)(6,107)(7,107)(8,100)(9,82)
Line37 : (0,95)(1,95)(2,101)(3,91)(4,99)(5,104)(6,111)(7,109)(8,103)(9,92)
Line38 : (0,95)(1,99)(2,98)(3,84)(4,101)(5,95)(6,93)(7,113)(8,116)(9,106)
Line39 : (0,102)(1,102)(2,94)(3,107)(4,101)(5,90)(6,107)(7,85)(8,105)(9,107)
Line40 : (0,115)(1,95)(2,99)(3,92)(4,98)(5,96)(6,88)(7,91)(8,113)(9,113)
Line41 : (0,93)(1,97)(2,87)(3,110)(4,101)(5,102)(6,109)(7,100)(8,109)(9,92)
Line42 : (0,106)(1,107)(2,82)(3,111)(4,97)(5,106)(6,92)(7,93)(8,92)(9,114)
Line43 : (0,110)(1,102)(2,95)(3,102)(4,94)(5,109)(6,117)(7,89)(8,88)(9,94)
